Go.	Va !
Run!	Cours !
Run!	Courez !
Wow!	Ça alors !
Fire!	Au feu !
Help!	À l'aide !
Jump.	Saute.
Stop!	Ça suffit !
Stop!	Stop !
Stop!	Arrête-toi !
Wait!	Attends !
Wait!	Attendez !
I see.	Je comprends.
I try.	J'essaye.
I won!	J'ai gagné !
I won!	Je l'ai emporté !
Oh no!	Oh non !
Attack!	Attaque !
Attack!	Attaquez !
Cheers!	Santé !
Cheers!	À votre santé !
Cheers!	Merci !
Get up.	Lève-toi.
Got it!	J'ai pigé !
Got it!	Compris !
Got it?	Pigé ?
Got it?	Compris ?
Got it?	T'as capté ?
Hop in.	Monte.
Hop in.	Montez.
Hug me.	Serre-moi dans tes bras !
Hug me.	Serrez-moi dans vos bras !
I fell.	Je suis tombée.
I fell.	Je suis tombé.
I know.	Je sais.
I left.	Je suis parti.
I left.	Je suis partie.
I lost.	J'ai perdu.
I'm 19.	J'ai 19 ans.
I'm OK.	Je vais bien.
I'm OK.	Ça va.
Listen.	Écoutez !
You're not as smart as me.	T'es pas aussi maligne que moi.
You're not as smart as me.	Tu n'es pas aussi maligne que moi.
You're not as smart as me.	Vous n'êtes pas aussi malins que moi.
You're not as smart as me.	Vous n'êtes pas aussi malignes que moi.
You're not as smart as me.	Vous n'êtes pas aussi maligne que moi.
You're not being rational.	Tu n'es pas rationnel.
You're not being rational.	Tu n'es pas rationnelle.
You're not being rational.	Vous n'êtes pas rationnel.
You're not being rational.	Vous n'êtes pas rationnels.
You're not being rational.	Vous n'êtes pas rationnelle.
You're not being rational.	Vous n'êtes pas rationnelles.
You're not bored, are you?	Vous ne vous ennuyez pas, si ?
You're not entirely wrong.	Tu n'as pas totalement tort.
You're not going, are you?	Tu n'y vas pas, si ?
You're not going, are you?	Vous n'y allez pas, si ?
You're not tired, are you?	Vous n'êtes pas fatigué, si ?
You're not tired, are you?	Vous n'êtes pas fatiguée, si ?
You're not tired, are you?	Vous n'êtes pas fatiguées, si ?
You're not tired, are you?	Vous n'êtes pas fatigués, si ?
You're not tired, are you?	Tu n'es pas fatigué, si ?
You're not tired, are you?	Tu n'es pas fatiguée, si ?
You're not upset, are you?	Tu n'es pas contrarié, si ?
You're not upset, are you?	Tu n'es pas contrariée, si ?
You're not upset, are you?	Vous n'êtes pas contrarié, si ?
You're not upset, are you?	Vous n'êtes pas contrariée, si ?
You're not upset, are you?	Vous n'êtes pas contrariés, si ?
You're not upset, are you?	Vous n'êtes pas contrariées, si ?
You're not yourself today.	Vous n'êtes pas vous même, aujourd'hui.
You're not yourself today.	Tu n'es pas toi même, aujourd'hui.
You're on the right track.	Tu es sur la bonne pente.
You're on the right track.	Vous êtes sur la bonne piste.
You're telling lies again.	Tu racontes encore des mensonges.
You're too drunk to drive.	Tu es trop ivre pour conduire.
You're too stupid to live.	Tu es trop stupide pour vivre.
You're too stupid to live.	Vous êtes trop stupide pour vivre.
You're too young to marry.	Tu es trop jeune pour te marier.
You're very sophisticated.	Tu es très élégante.
You're very sophisticated.	Tu es fort élégante.
You're very sophisticated.	Tu es très élégant.
You're very sophisticated.	Tu es fort élégant.
You're very sophisticated.	Vous êtes très élégante.
You're very sophisticated.	Vous êtes très élégant.
You're very sophisticated.	Vous êtes très élégantes.
You're very sophisticated.	Vous êtes très élégants.
You're very sophisticated.	Vous êtes fort élégante.
You're very sophisticated.	Vous êtes fort élégant.
You're very sophisticated.	Vous êtes fort élégantes.
You're very sophisticated.	Vous êtes fort élégants.
You're very sophisticated.	Vous êtes fort raffiné.
You're very sophisticated.	Vous êtes fort raffinée.
You're very sophisticated.	Vous êtes fort raffinés.
You're very sophisticated.	Vous êtes fort raffinées.
You're very sophisticated.	Vous êtes très raffiné.
You're very sophisticated.	Vous êtes très raffinée.
You're very sophisticated.	Vous êtes très raffinés.
You're very sophisticated.	Vous êtes très raffinées.
You're very sophisticated.	Tu es très raffiné.
You're very sophisticated.	Tu es très raffinée.
You're very sophisticated.	Tu es fort raffiné.
You're very sophisticated.	Tu es fort raffinée.
You're very understanding.	Vous êtes fort compréhensif.
You're very understanding.	Vous êtes fort compréhensive.
You're very understanding.	Vous êtes fort compréhensifs.
You're very understanding.	Vous êtes fort compréhensives.
